entity,birth_date,provider,model,reported_cutoff,score_run1,score_run2,score_run3,score_mean,score_std,score_min,score_max,agreement
DeepSeek,2023-07-17,openai,gpt-4-0613,2021-09,0,0,0,0,0.0,0,0,exact
DeepSeek,2023-07-17,openai,gpt-4.1-2025-04-14,2024-06,2,2,2,2,0.0,2,2,exact
DeepSeek,2023-07-17,openai,gpt-4o-2024-05-13,2023-10,0,0,0,0,0.0,0,0,exact
DeepSeek,2023-07-17,openai,gpt-4o-2024-11-20,2023-10,0,0,0,0,0.0,0,0,exact
DeepSeek,2023-07-17,openai,gpt-5.2,2025-06,2,3,3,2.667,0.471,2,3,within_1
DeepSeek-R1,2025-01-20,openai,gpt-4-0613,2021-09,0,0,0,0,0.0,0,0,exact
DeepSeek-R1,2025-01-20,openai,gpt-4.1-2025-04-14,2024-06,0,0,0,0,0.0,0,0,exact
DeepSeek-R1,2025-01-20,openai,gpt-4o-2024-05-13,2023-10,0,0,0,0,0.0,0,0,exact
DeepSeek-R1,2025-01-20,openai,gpt-4o-2024-11-20,2023-10,0,0,0,0,0.0,0,0,exact
DeepSeek-R1,2025-01-20,openai,gpt-5.2,2025-06,0,3,3,2,1.414,0,3,diverge
Devin AI,2024-03-12,openai,gpt-4-0613,2021-09,0,0,0,0,0.0,0,0,exact
Devin AI,2024-03-12,openai,gpt-4.1-2025-04-14,2024-06,3,3,4,3.333,0.471,3,4,within_1
Devin AI,2024-03-12,openai,gpt-4o-2024-05-13,2023-10,0,0,0,0,0.0,0,0,exact
Devin AI,2024-03-12,openai,gpt-4o-2024-11-20,2023-10,0,0,0,0,0.0,0,0,exact
Devin AI,2024-03-12,openai,gpt-5.2,2025-06,4,4,4,4,0.0,4,4,exact
Dream Machine (by Luma),2024-06-12,openai,gpt-4-0613,2021-09,0,0,0,0,0.0,0,0,exact
Dream Machine (by Luma),2024-06-12,openai,gpt-4.1-2025-04-14,2024-06,4,4,4,4,0.0,4,4,exact
Dream Machine (by Luma),2024-06-12,openai,gpt-4o-2024-05-13,2023-10,0,0,0,0,0.0,0,0,exact
Dream Machine (by Luma),2024-06-12,openai,gpt-4o-2024-11-20,2023-10,0,0,0,0,0.0,0,0,exact
Dream Machine (by Luma),2024-06-12,openai,gpt-5.2,2025-06,4,4,4,4,0.0,4,4,exact
ElevenLabs,2023-01-23,openai,gpt-4-0613,2021-09,0,0,0,0,0.0,0,0,exact
ElevenLabs,2023-01-23,openai,gpt-4.1-2025-04-14,2024-06,3,4,3,3.333,0.471,3,4,within_1
ElevenLabs,2023-01-23,openai,gpt-4o-2024-05-13,2023-10,3,3,3,3,0.0,3,3,exact
ElevenLabs,2023-01-23,openai,gpt-4o-2024-11-20,2023-10,4,4,4,4,0.0,4,4,exact
ElevenLabs,2023-01-23,openai,gpt-5.2,2025-06,4,4,4,4,0.0,4,4,exact
GPT-4,2023-03-14,openai,gpt-4-0613,2021-09,0,0,0,0,0.0,0,0,exact
GPT-4,2023-03-14,openai,gpt-4.1-2025-04-14,2024-06,4,4,4,4,0.0,4,4,exact
GPT-4,2023-03-14,openai,gpt-4o-2024-05-13,2023-10,3,3,4,3.333,0.471,3,4,within_1
GPT-4,2023-03-14,openai,gpt-4o-2024-11-20,2023-10,4,4,4,4,0.0,4,4,exact
GPT-4,2023-03-14,openai,gpt-5.2,2025-06,4,4,4,4,0.0,4,4,exact
GPT-4o,2024-05-13,openai,gpt-4-0613,2021-09,0,0,0,0,0.0,0,0,exact
GPT-4o,2024-05-13,openai,gpt-4.1-2025-04-14,2024-06,4,4,4,4,0.0,4,4,exact
GPT-4o,2024-05-13,openai,gpt-4o-2024-05-13,2023-10,0,0,0,0,0.0,0,0,exact
GPT-4o,2024-05-13,openai,gpt-4o-2024-11-20,2023-10,0,0,0,0,0.0,0,0,exact
GPT-4o,2024-05-13,openai,gpt-5.2,2025-06,4,4,4,4,0.0,4,4,exact
Gemini (the Google AI model),2023-12-06,openai,gpt-4-0613,2021-09,0,0,0,0,0.0,0,0,exact
Gemini (the Google AI model),2023-12-06,openai,gpt-4.1-2025-04-14,2024-06,4,4,4,4,0.0,4,4,exact
Gemini (the Google AI model),2023-12-06,openai,gpt-4o-2024-05-13,2023-10,0,0,0,0,0.0,0,0,exact
Gemini (the Google AI model),2023-12-06,openai,gpt-4o-2024-11-20,2023-10,3,2,2,2.333,0.471,2,3,within_1
Gemini (the Google AI model),2023-12-06,openai,gpt-5.2,2025-06,4,4,4,4,0.0,4,4,exact
Gemini 1.5 Pro,2024-02-15,openai,gpt-4-0613,2021-09,0,0,0,0,0.0,0,0,exact
Gemini 1.5 Pro,2024-02-15,openai,gpt-4.1-2025-04-14,2024-06,4,4,4,4,0.0,4,4,exact
Gemini 1.5 Pro,2024-02-15,openai,gpt-4o-2024-05-13,2023-10,0,0,0,0,0.0,0,0,exact
Gemini 1.5 Pro,2024-02-15,openai,gpt-4o-2024-11-20,2023-10,0,0,0,0,0.0,0,0,exact
Gemini 1.5 Pro,2024-02-15,openai,gpt-5.2,2025-06,4,4,4,4,0.0,4,4,exact
Grok (the xAI chatbot),2023-11-04,openai,gpt-4-0613,2021-09,0,0,0,0,0.0,0,0,exact
Grok (the xAI chatbot),2023-11-04,openai,gpt-4.1-2025-04-14,2024-06,4,4,4,4,0.0,4,4,exact
Grok (the xAI chatbot),2023-11-04,openai,gpt-4o-2024-05-13,2023-10,0,0,0,0,0.0,0,0,exact
Grok (the xAI chatbot),2023-11-04,openai,gpt-4o-2024-11-20,2023-10,0,0,0,0,0.0,0,0,exact
Grok (the xAI chatbot),2023-11-04,openai,gpt-5.2,2025-06,4,4,3,3.667,0.471,3,4,within_1
Humane Ai Pin,2023-11-09,openai,gpt-4-0613,2021-09,0,0,0,0,0.0,0,0,exact
Humane Ai Pin,2023-11-09,openai,gpt-4.1-2025-04-14,2024-06,4,3,4,3.667,0.471,3,4,within_1
Humane Ai Pin,2023-11-09,openai,gpt-4o-2024-05-13,2023-10,0,0,0,0,0.0,0,0,exact
Humane Ai Pin,2023-11-09,openai,gpt-4o-2024-11-20,2023-10,3,3,3,3,0.0,3,3,exact
Humane Ai Pin,2023-11-09,openai,gpt-5.2,2025-06,4,4,4,4,0.0,4,4,exact
Ideogram,2023-08-22,openai,gpt-4-0613,2021-09,0,0,0,0,0.0,0,0,exact
Ideogram,2023-08-22,openai,gpt-4.1-2025-04-14,2024-06,4,4,4,4,0.0,4,4,exact
Ideogram,2023-08-22,openai,gpt-4o-2024-05-13,2023-10,0,0,0,0,0.0,0,0,exact
Ideogram,2023-08-22,openai,gpt-4o-2024-11-20,2023-10,0,0,0,0,0.0,0,0,exact
Ideogram,2023-08-22,openai,gpt-5.2,2025-06,3,4,4,3.667,0.471,3,4,within_1
Kimi (the AI chatbot),2023-10-09,openai,gpt-4-0613,2021-09,0,0,0,0,0.0,0,0,exact
Kimi (the AI chatbot),2023-10-09,openai,gpt-4.1-2025-04-14,2024-06,2,3,4,3,0.816,2,4,diverge
Kimi (the AI chatbot),2023-10-09,openai,gpt-4o-2024-05-13,2023-10,0,0,0,0,0.0,0,0,exact
Kimi (the AI chatbot),2023-10-09,openai,gpt-4o-2024-11-20,2023-10,0,0,0,0,0.0,0,0,exact
Kimi (the AI chatbot),2023-10-09,openai,gpt-5.2,2025-06,3,3,3,3,0.0,3,3,exact
Liquid AI,2023-12-06,openai,gpt-4-0613,2021-09,0,0,0,0,0.0,0,0,exact
Liquid AI,2023-12-06,openai,gpt-4.1-2025-04-14,2024-06,2,0,2,1.333,0.943,0,2,diverge
Liquid AI,2023-12-06,openai,gpt-4o-2024-05-13,2023-10,0,0,0,0,0.0,0,0,exact
Liquid AI,2023-12-06,openai,gpt-4o-2024-11-20,2023-10,0,0,0,0,0.0,0,0,exact
Liquid AI,2023-12-06,openai,gpt-5.2,2025-06,2,3,2,2.333,0.471,2,3,within_1
Llama 2,2023-07-18,openai,gpt-4-0613,2021-09,0,0,0,0,0.0,0,0,exact
Llama 2,2023-07-18,openai,gpt-4.1-2025-04-14,2024-06,4,3,3,3.333,0.471,3,4,within_1
Llama 2,2023-07-18,openai,gpt-4o-2024-05-13,2023-10,3,3,3,3,0.0,3,3,exact
Llama 2,2023-07-18,openai,gpt-4o-2024-11-20,2023-10,4,4,4,4,0.0,4,4,exact
Llama 2,2023-07-18,openai,gpt-5.2,2025-06,4,4,4,4,0.0,4,4,exact
Llama 3,2024-04-18,openai,gpt-4-0613,2021-09,0,0,0,0,0.0,0,0,exact
Llama 3,2024-04-18,openai,gpt-4.1-2025-04-14,2024-06,3,3,3,3,0.0,3,3,exact
Llama 3,2024-04-18,openai,gpt-4o-2024-05-13,2023-10,0,0,0,0,0.0,0,0,exact
Llama 3,2024-04-18,openai,gpt-4o-2024-11-20,2023-10,0,0,0,0,0.0,0,0,exact
Llama 3,2024-04-18,openai,gpt-5.2,2025-06,4,4,3,3.667,0.471,3,4,within_1
Lovable (the AI app builder),2024-11-21,openai,gpt-4-0613,2021-09,0,0,0,0,0.0,0,0,exact
Lovable (the AI app builder),2024-11-21,openai,gpt-4.1-2025-04-14,2024-06,0,0,0,0,0.0,0,0,exact
Lovable (the AI app builder),2024-11-21,openai,gpt-4o-2024-05-13,2023-10,0,0,0,0,0.0,0,0,exact
Lovable (the AI app builder),2024-11-21,openai,gpt-4o-2024-11-20,2023-10,0,0,0,0,0.0,0,0,exact
Lovable (the AI app builder),2024-11-21,openai,gpt-5.2,2025-06,2,0,0,0.667,0.943,0,2,diverge
Mamba (the deep learning architecture),2023-12-01,openai,gpt-4-0613,2021-09,0,0,0,0,0.0,0,0,exact
Mamba (the deep learning architecture),2023-12-01,openai,gpt-4.1-2025-04-14,2024-06,4,4,4,4,0.0,4,4,exact
Mamba (the deep learning architecture),2023-12-01,openai,gpt-4o-2024-05-13,2023-10,0,0,0,0,0.0,0,0,exact
Mamba (the deep learning architecture),2023-12-01,openai,gpt-4o-2024-11-20,2023-10,0,0,0,0,0.0,0,0,exact
Mamba (the deep learning architecture),2023-12-01,openai,gpt-5.2,2025-06,4,4,4,4,0.0,4,4,exact
Manus (the AI agent),2025-03-06,openai,gpt-4-0613,2021-09,0,0,0,0,0.0,0,0,exact
Manus (the AI agent),2025-03-06,openai,gpt-4.1-2025-04-14,2024-06,0,0,0,0,0.0,0,0,exact
Manus (the AI agent),2025-03-06,openai,gpt-4o-2024-05-13,2023-10,0,0,0,0,0.0,0,0,exact
Manus (the AI agent),2025-03-06,openai,gpt-4o-2024-11-20,2023-10,0,0,0,0,0.0,0,0,exact
Manus (the AI agent),2025-03-06,openai,gpt-5.2,2025-06,0,0,0,0,0.0,0,0,exact
Mistral AI,2023-04-28,openai,gpt-4-0613,2021-09,0,0,0,0,0.0,0,0,exact
Mistral AI,2023-04-28,openai,gpt-4.1-2025-04-14,2024-06,4,4,4,4,0.0,4,4,exact
Mistral AI,2023-04-28,openai,gpt-4o-2024-05-13,2023-10,2,3,3,2.667,0.471,2,3,within_1
Mistral AI,2023-04-28,openai,gpt-4o-2024-11-20,2023-10,4,4,4,4,0.0,4,4,exact
Mistral AI,2023-04-28,openai,gpt-5.2,2025-06,3,3,4,3.333,0.471,3,4,within_1
Mixtral 8x7B,2023-12-08,openai,gpt-4-0613,2021-09,0,0,0,0,0.0,0,0,exact
Mixtral 8x7B,2023-12-08,openai,gpt-4.1-2025-04-14,2024-06,4,4,4,4,0.0,4,4,exact
Mixtral 8x7B,2023-12-08,openai,gpt-4o-2024-05-13,2023-10,0,0,0,0,0.0,0,0,exact
Mixtral 8x7B,2023-12-08,openai,gpt-4o-2024-11-20,2023-10,0,0,0,0,0.0,0,0,exact
